item_type,brand,name,price,quantity,size,color,rpm,airflow,noise_level,pwm
fan,Thermaltake, CT120 ARGB Sync 2-Pack,129.95,17,120,White,"500,2000",57.05,25.8,true
fan,Noctua, A15 PWM,103.73,56,140,Brown,"900,1200",,"13.8,19.2",true
fan,Thermalright, TL-B12 EXTREM,47.32,10,120,Black / Red,3150,112,40.5,true
fan,Cooler Master, SickleFlow,60.58,42,120,Black,"650,1800",62,"8,27",true
fan,Lian Li, ST120 3-Pack,194.08,58,120,Black,"800,1900",69.17,32,true
fan,ARCTIC, P14 Slim PWM PST,56.29,38,140,Black,"150,1800",52,,true
fan,Thermalright, TL-P12W-S,32.02,48,120,White,1500,52.86,22.1,true
fan,Cooler Master, SickleFlow 120 ARGB,125.79,26,120,White,"650,1800",62,"8,27",true
fan,Corsair, AF120 SLIM,108.28,8,120,Black,"600,2000","13.4,56.3","5,25.6",true
fan,Phanteks, PH-F140D30R 3-Pack,370.43,2,140,White,"250,1800",71.76,32.1,true
fan,be quiet!, Light Wings PWM 3-Pack,237.88,20,140,Black,1500,56,23.3,true
fan,Noctua, A9 PWM,82.11,56,92,Brown,"400,2000","36.84,46.44","16.3,22.8",true
fan,Corsair, AF140 ELITE,112.57,35,140,Black,"400,1600","15.3,84.5",31,true
fan,Corsair, LL140 2-Pack,402.15,49,140,Black,"600,1300",51.5,25,true
fan,Phanteks, M25-140 PWM D-RGB 3-Pack,151.61,12,140,Black,"500,1800",104.62,36.57,true
fan,be quiet!, Silent Wings Pro 4,142.56,10,120,White,3000,83.9,36.9,true
fan,Phanteks, PH-F140D30,129.95,40,140,Black,"250,1800",71.93,29.5,true
fan,Noctua, A15 HS-PWM chromax.black.swap,125.44,2,140,Multicolor,"300,1500",82.52,24.6,true
fan,ID-COOLING, AF-125 3-Pack,108.28,17,120,White,"500,2000",78.25,29.85,true
fan,Thermaltake, SWAFAN EX14 ARGB 3-Pack,389.93,20,140,White,"500,2000","79.3,81.6","34.5,38.8",true
fan,Corsair, iCUE LINK RX140 2-Pack,316.27,9,140,Black,1700,"18.1,95.7","10,36",false
fan,Cooler Master, MasterFan MF Halo,142.9,15,140,Black / White,"650,1500",55,"6,30",true
fan,be quiet!, Pure Wings 3,51.56,12,140,Black,1200,57.4,21.9,true
fan,Fractal Design, Dynamic X2 GP-14,101.39,10,140,Black,1000,68.4,18.9,false
fan,Thermaltake, SWAFAN EX14 ARGB 3-Pack,372.59,14,140,Black,"500,2000","79.3,81.6","34.5,38.8",true
fan,Corsair, iCUE AF120 RGB SLIM 2-Pack,282.94,11,120,Black,"600,2000","13.4,56.3",27.5,true
fan,Noctua, A20 PWM,142.77,59,200,Brown,"350,800","59.33,86.46","10.7,18.1",true
fan,Noctua, F12 industrialPPC-2000 IP67 PWM,121.11,27,120,Brown / Black,"450,2000",71.69,29.7,true
fan,NZXT, F120P,90.91,5,120,White,"500,1800","21.67,78.02","17.9,30.6",true
fan,be quiet!, Shadow Wings 2,64.56,50,120,Black,1100,38.5,15.9,true
fan,Lian Li, UNI SL120,157.81,47,120,White,"800,1900",58.54,"17,31",true
fan,ARCTIC, F12 5-Pack,99.44,23,120,Black,1350,53,22.5,false
fan,be quiet!, Light Wings PWM,107.89,53,140,Black,1500,56,23.3,true
fan,EK, Loop Fan FPT 120 D-RGB,123.71,8,120,Black,"550,2300",77,36,true
fan,Phanteks, M25-120 PWM 3-Pack,129.9,51,120,Black,"500,2000",84.26,35.7,true
fan,Noctua, NF-A6x25-PWM,64.78,0,60,Brown,"550,3000","13.3,17.19","13.7,19.3",true
fan,Thermalright, TL-C14C,38.95,24,140,Black,1500,75.8,26.4,true
fan,be quiet!, Pure Wings 3 PWM High-Speed,47.23,11,120,White,2100,59.6,30.9,true
fan,Xigmatek, XAF,25.95,18,120,Black,1500,75.3,24,false
fan,Silverstone, Air Slimmer 120,148.19,54,120,Black,,"0,63.67","0,31.7",true
fan,Montech, RX,64.56,8,140,Black,"600,1600",90.5,27.9,true
fan,Lian Li, UNI FAN P28,81.85,35,120,White,"200,2600","44.94,92","20.4,32.1",true
fan,ID-COOLING, AF-ARGB-K 3-Pack,173.28,3,120,Black,"500,2000",78,29.9,true
