item_type,brand,name,price,quantity,rpm,noise_level,color,size
cooler,Corsair, iCUE LINK H150i RGB,931.55,48,"480,2400",,White,360.0
cooler,ARCTIC, Liquid Freezer II 240 A-RGB,433.26,6,"200,1800",22.5,Black / Gray,240.0
cooler,ARCTIC, Liquid Freezer II 420 A-RGB,433.26,53,"200,1900",22.5,Black,420.0
cooler,ARCTIC, Alpine 23 CO,60.14,32,"100,2000",,Black,
cooler,Corsair, A115,433.26,53,"400,1600","5,33.9",Black,
cooler,Cooler Master, Hyper 212 EVO V2,398.59,49,"650,1800","8,27",Black / Silver,
cooler,Cooler Master, Hyper 212 RGB Black Edition,433.26,37,"650,2000","8,30",Black,
cooler,ARCTIC, Liquid Freezer II 280 A-RGB,446.26,22,"200,1900",22.5,Black,280.0
cooler,Asus, ROG RYUO III 360 ARGB,823.23,32,2200,36.45,Black,360.0
cooler,Thermalright, Frozen Prism ARGB,220.55,39,1850,27,Black,240.0
cooler,Fractal Design, Lumen S24 RGB V2,493.88,18,"500,2000","10,33.2",Black,240.0
cooler,Thermaltake, TH360 V2 ARGB Sync,511.25,4,"500,2000",25.8,Black,360.0
cooler,Cooler Master, MasterLiquid 240 Atmos,519.92,41,"690,2500",27.2,Black,240.0
cooler,Deepcool, LS520S ZERO DARK,346.55,8,"500,2250","28.2,32.9",Black,240.0
cooler,NZXT, Kraken 280 RGB,771.23,34,"500,1500",34.48,White,280.0
cooler,Noctua, NH-D15S,433.08,53,"300,1500","19.2,24.6",,
cooler,MSI, MEG CORELIQUID S360,732.28,32,,22.7,Black,360.0
cooler,ARCTIC, Alpine AM4,44.41,2,"100,2000",,Black / White,
cooler,Corsair, iCUE H100i ELITE CAPELLIX,866.6,20,2400,"10,37",Black,240.0
cooler,Noctua, NH-U14S,346.42,37,"300,1500","19.2,24.6",,
cooler,ARCTIC, Liquid Freezer III A-RGB,571.91,13,"200,1900",,White,280.0
cooler,Corsair, iCUE H100i RGB ELITE,649.91,39,"400,1850","5,28.9",White,240.0
cooler,ARCTIC, Alpine 17 CO,56.29,49,"250,2700",,Black,
cooler,Thermalright, Frozen Prism ARGB,242.21,32,1850,27,White,360.0
cooler,MSI, MPG CORELIQUID D360,875.22,21,,,Black,360.0
cooler,Thermalright, Frost Commander 140 BLACK,172.89,14,1800,30.2,Black,
cooler,Thermalright, Assassin X Refined SE PLUS,96.58,38,1550,25.6,Black / Silver,
cooler,be quiet!, Silent Loop 2 360,931.6,17,2200,"17.7,39.8",Black,360.0
cooler,Deepcool, AG500 BK ARGB,160.23,56,"300,1850",29.4,Black,
cooler,ARCTIC, Freezer 36 A-RGB,190.61,16,"200,2000",,White,
cooler,Thermaltake, UX200 SE ARGB,108.28,12,"800,1800",25,Black,
cooler,Deepcool, LS720 WH,584.91,32,"500,2250",32.9,White,360.0
cooler,Cooler Master, MasterLiquid 120L Core,259.94,46,"650,1750",27.2,Black,120.0
cooler,Deepcool, AK500,255.6,42,"500,1850","25.9,31.5",White,
cooler,Gigabyte, AORUS WATERFORCE X,866.56,16,"800,2500","7.9,37.6",Black,360.0
cooler,ARCTIC, Alpine 17,51.95,49,"100,2000",,Black / White,
cooler,ID-COOLING, FROZN A400 BLACK,108.28,23,"500,2200",25.8,Black,
cooler,Thermalright, AXP120-X67,146.89,48,1800,26.1,Black,
cooler,be quiet!, Dark Rock Slim,259.55,18,1500,"11,23.6",Black,
cooler,Cooler Master, MasterLiquid 240L Core,410.38,38,"650,1750",27.2,Black,240.0
