item_type,name,price,capacity,cache,form_factor,interface
SSD,Leven JS600,801.56,4000.0,,2.5,SATA 6.0 Gb/s
SSD,TEAMGROUP MP44L,190.61,500.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Crucial MX500,173.28,250.0,256.0,2.5,SATA 6.0 Gb/s
SSD,Crucial BX500,121.28,240.0,,2.5,SATA 6.0 Gb/s
SSD,Western Digital Green SN350,173.28,480.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Western Digital Green SN350,517.1,2000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,SK Hynix Gold P31,368.26,1000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Inland Performance Plus,602.24,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Silicon Power UD85,294.56,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,TEAMGROUP CX2,446.26,2000.0,,2.5,SATA 6.0 Gb/s
SSD,Patriot P310,95.28,240.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,ADATA XPG SX8200 Pro,502.63,2000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Crucial T700 W/Heatsink,1256.53,2000.0,,M.2-2280,M.2 PCIe 5.0 X4
SSD,ADATA SU630,132.03,240.0,,2.5,SATA 6.0 Gb/s
SSD,Crucial P5 Plus W/Heatsink,747.31,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Corsair MP600 PRO LPX,714.9,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Seagate FireCuda 540,1343.19,2000.0,,M.2-2280,M.2 PCIe 5.0 X4
SSD,TEAMGROUP Cardea A440,621.18,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Sabrent Rocket 5,1473.18,2000.0,,M.2-2280,M.2 PCIe 5.0 X4
SSD,Sabrent Rocket 4 Plus,519.92,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Kingston NV1,324.89,1000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Corsair MP600 PRO XT,762.56,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Lexar NM790 w/Heatsink,368.26,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Leven JPS600,255.6,1000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Patriot Burst Elite,216.61,960.0,,2.5,SATA 6.0 Gb/s
SSD,HP FX900 Pro,584.91,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Inland TN470,597.91,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Seagate FireCuda 530,498.3,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Leven JS600,233.94,1000.0,,2.5,SATA 6.0 Gb/s
SSD,Samsung 860 Evo,373.2,250.0,512.0,2.5,SATA 6.0 Gb/s
SSD,Western Digital Blue SA510,593.06,2000.0,,2.5,SATA 6.0 Gb/s
SSD,Inland Performance Plus,329.22,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,FanXiang S880,346.55,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Patriot P210,134.28,512.0,,2.5,SATA 6.0 Gb/s
SSD,Mushkin Vortex Redline,593.58,2000.0,1024.0,M.2-2280,M.2 PCIe 4.0 X4
SSD,Western Digital Blue SA510,1177.28,4000.0,,2.5,SATA 6.0 Gb/s
SSD,PNY CS900,303.27,1000.0,,2.5,SATA 6.0 Gb/s
SSD,Sabrent Rocket 4 Plus,2166.46,4000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Mushkin Helix-L,268.6,1000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Crucial T705 W/Heatsink Limited Edition,1503.51,2000.0,,M.2-2280,M.2 PCIe 5.0 X4
SSD,Samsung 860 Pro,4766.26,4000.0,4096.0,2.5,SATA 6.0 Gb/s
SSD,TEAMGROUP MP33 PRO,177.61,512.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,TEAMGROUP MS30,472.25,2000.0,,M.2-2280,M.2 SATA
SSD,Kingston KC3000,1637.83,4096.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Crucial BX500,164.61,480.0,,2.5,SATA 6.0 Gb/s
SSD,Mushkin Tempest,298.89,1000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Seagate FireCuda 530,953.04,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Inland TN470,355.26,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,TEAMGROUP Cardea A440,346.55,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
