item_type,brand,name,price,type,efficiency,wattage,modular,color
psu,be quiet!, SFX Power 3 450,777.77,SFX,bronze,450,false,Black
psu,be quiet!, Dark Power 13,692.85,ATX,titanium,750,Full,Black
psu,MSI, MEG Ai1000P PCIE5,1087.58,ATX,platinum,1000,Full,Black / Copper
psu,SeaSonic, S12III,298.98,ATX,bronze,650,false,Black
psu,Thermaltake, Toughpower GF3 TT Premium,433.26,ATX,gold,750,Full,Black
psu,Vetroo, GV1000,563.25,ATX,gold,1000,Full,White
psu,Azza, PSAZ-550W,235.33,ATX,bronze,550,false,Black
psu,Thermaltake, TR2 S,321.51,ATX,plus,600,false,Black
psu,SeaSonic, FOCUS SPX (2021),816.47,SFX,platinum,750,Full,Black
psu,Asus, ROG LOKI,927.22,SFX,platinum,850,Full,White / Silver
psu,PowerSpec, PS 650BF,255.6,ATX,bronze,650,false,Black
psu,Corsair, RM750x (2018),714.9,ATX,gold,750,Full,Black
psu,PowerSpec, PS 750BSM,316.22,ATX,bronze,750,Semi,Black
psu,be quiet!, System Power 10,1031.95,ATX,bronze,750,false,Black
psu,Montech, CENTURY MINI,428.53,SFX,gold,750,Full,Black
psu,Thermaltake, TR2,269.04,ATX,,500,false,
psu,be quiet!, Pure Power 12 M,649.52,ATX,gold,550,Full,Black
psu,Corsair, RM850x,757.76,ATX,gold,850,Full,
psu,Corsair, RM650x (2018),792.9,ATX,gold,650,Full,Black / Silver
psu,Thermaltake, Toughpower GF3 TT Premium,706.24,ATX,gold,1000,Full,Black
psu,Asus, ROG LOKI,901.22,SFX,platinum,850,Full,Black / Silver
psu,be quiet!, System Power 10,806.46,ATX,bronze,550,false,Black
psu,be quiet!, Straight Power 12,1082.82,ATX,platinum,1500,Full,Black
psu,EVGA, SuperNOVA 750 GM,649.91,SFX,gold,750,Full,Black
psu,Raidmax, XT,134.28,ATX,,400,false,
psu,EVGA, SuperNOVA 650 G+,466.53,ATX,gold,650,Full,Black
psu,EVGA, 750 BP,311.93,ATX,bronze,750,false,Black
psu,Silverstone, SFX,483.87,SFX,gold,500,Full,
psu,Thermaltake, Smart BX1 650,259.94,ATX,bronze,650,false,Black
psu,SeaSonic, FOCUS PX,584.91,ATX,platinum,850,Full,Black
psu,EVGA, SuperNOVA 1300 GT,818.89,ATX,gold,1300,Full,Black
psu,Asus, ROG Strix,584.91,ATX,gold,750,Full,Black / Red
psu,Corsair, HX1200i,1386.52,ATX,platinum,1200,Full,Black
psu,Asus, ROG LOKI,758.23,SFX,platinum,750,Full,Black / Silver
psu,Asus, ROG Strix Aura Edition,888.22,ATX,gold,1000,Full,Black
psu,be quiet!, System Power 10,1310.6,ATX,gold,850,false,Black
psu,Asus, ROG-STRIX-850G,675.69,ATX,gold,850,Full,Black
psu,Montech, TITAN GOLD 1200W,607.66,ATX,gold,1200,Full,Black
psu,Corsair, CX650 (2017),545.96,ATX,bronze,650,false,
psu,Apevia, Signature,298.89,ATX,bronze,1050,Semi,Black
psu,Super Flower, Leadex Platinum SE,606.58,ATX,platinum,1000,Full,Black
psu,EVGA, 700 BQ,324.89,ATX,bronze,700,Semi,Black
psu,Super Flower, Leadex Platinum SE,693.24,ATX,platinum,1200,Full,Black
psu,Phanteks, Revolt SFX,866.56,SFX,platinum,850,Full,Black
psu,Thermaltake, Toughpower GF A3 - TT Premium Edition,606.58,ATX,gold,1050,Full,Black
psu,EVGA, 750 GQ,428.97,ATX,gold,750,Semi,
psu,EVGA, SuperNOVA 650 P5,411.59,ATX,platinum,650,Full,Black / Teal
psu,MSI, MPG A1000G,1297.26,ATX,gold,1000,Full,Black
psu,EVGA, SuperNOVA 1000 G+,1481.84,ATX,gold,1000,Full,Black
psu,MSI, MPG A850GF,835.84,ATX,gold,850,Full,Black
psu,Cooler Master, MWE Gold V2 ATX3.0,606.49,ATX,gold,1050,Full,Black
psu,Super Flower, Leadex III Gold,433.26,ATX,gold,850,Full,Black
psu,EVGA, SuperNOVA 850 G5,627.72,ATX,gold,850,Full,Black / Green
psu,Thermaltake, Toughpower GF A3 - TT Premium Edition,784.49,ATX,gold,1200,Full,Black
psu,Super Flower, Leadex Titanium,823.23,ATX,titanium,1000,Full,Black
psu,Corsair, AX1200i,2546.63,ATX,platinum,1200,Full,
psu,be quiet!, Pure Power 11 600,622.13,ATX,gold,600,false,Black
psu,EVGA, 450 BR,476.59,ATX,bronze,450,false,
psu,Corsair, CX750 (2017),411.59,ATX,bronze,750,false,
psu,Thermaltake, Smart BM3,346.55,ATX,bronze,650,Semi,Black
psu,Corsair, HX1000 Platinum,1602.99,ATX,platinum,1000,Full,
psu,Silverstone, SFX,328.61,SFX,bronze,300,false,Black
psu,Corsair, RM650 (2019),953.22,ATX,gold,650,Full,Black
psu,Asus, Prime AP-850G,563.25,ATX,gold,850,Full,White / Black
psu,Corsair, RM850,779.77,ATX,gold,850,Full,Black
psu,CoolMax, ZX-500,173.28,ATX,plus,500,false,
psu,Silverstone, FX500-G,606.58,Flex ATX,gold,500,false,Black
psu,EVGA, SuperNOVA 1000 P3,823.23,ATX,platinum,1000,Full,Black / Silver
psu,SeaSonic, FOCUS,441.92,ATX,gold,850,Semi,Black
psu,Azza, PSAZ-650W,262.8,ATX,bronze,650,false,Black
psu,Corsair, SF600,931.55,SFX,gold,600,Full,
psu,Corsair, RM850x SHIFT,736.57,ATX,gold,850,Full / Side,White
psu,Thermaltake, Toughpower GF1 (2024),408.04,ATX,gold,750,Full,Black
psu,Apevia, Galaxy,346.55,ATX,gold,1000,Semi,Black
psu,Corsair, CX550M,771.27,ATX,bronze,550,Semi,
psu,Silverstone, SX1000-LPT,1000.06,SFX,platinum,1000,Full,Black
psu,Silverstone, FX600 Platinum,777.86,Flex ATX,,600,false,Black
psu,EVGA, SuperNOVA 1200 P3,909.89,ATX,platinum,1200,Full,Black / Silver
psu,Asus, ROG Strix Aura Edition,1018.21,ATX,gold,1200,Full,Black
psu,Thermaltake, Smart RGB 230V,645.62,ATX,plus,500,false,Black
psu,MSI, MAG A1000GL PCIE5,775.61,ATX,gold,1000,Full,Black
psu,EVGA, SuperNOVA 650 GA,522.95,ATX,gold,650,Full,Black
psu,Thermaltake, Toughpower SFX,693.24,SFX,gold,750,Full,Black
psu,Asus, ROG THOR 850P,1516.51,ATX,platinum,850,Full,Black / Red
psu,GameMax, GX Pro Rampage,476.59,ATX,gold,850,Full,White
psu,EVGA, 500 GD,476.59,ATX,gold,500,false,Black
psu,Corsair, RM850x White,1208.91,ATX,gold,850,Full,White / Black
psu,EVGA, 600 BQ,629.5,ATX,bronze,600,Semi,
psu,EVGA, 650 BQ,558.91,ATX,bronze,650,Semi,
psu,Corsair, RM750,745.23,ATX,gold,750,Full,Black
psu,EVGA, 650 N1,249.23,ATX,,650,false,
psu,Deepcool, DQ750-M-V2L,433.26,ATX,gold,750,Full,Black / Green
psu,Deepcool, PX850G WH,674.78,ATX,gold,850,Full,White
psu,Corsair, CX650M,623.43,ATX,bronze,650,Semi,
psu,GameMax, RGB Rainbow,476.59,ATX,gold,850,Full,Black
psu,ADATA, XPG Core Reactor II,563.25,ATX,gold,1000,Full,Black
psu,SeaSonic, VERTEX PX-1000,1097.12,ATX,platinum,1000,Full,Black / Silver
psu,PowerSpec, PS 650GSM,333.55,ATX,gold,650,Semi,Black
psu,Thermaltake, Toughpower GF3 TT Premium,823.23,ATX,gold,1350,Full,Black
psu,GameMax, GX Pro Rampage,693.24,ATX,platinum,1050,Full,White
psu,Silverstone, HELA 1200R,1018.69,ATX,platinum,1200,Full,Black
psu,EVGA, SuperNOVA 1000 G5,742.94,ATX,gold,1000,Full,Black / Green
psu,Cooler Master, MWE Gold V2 ATX3.0,693.24,ATX,gold,1250,Full,Black
psu,be quiet!, Straight Power 12,606.19,ATX,platinum,750,Full,Black
psu,Aerocool, LUX RGB 750M (230V EU),435.12,ATX,bronze,750,Semi,Black
psu,be quiet!, Straight Power 11 750W,1126.58,ATX,gold,750,Full,
psu,Fractal Design, Ion Gold,555.88,ATX,gold,550,Full,Black
psu,Super Flower, Leadex Titanium,1299.86,ATX,titanium,1600,Full,Black
psu,EVGA, SuperNOVA 650 G3,747.4,ATX,gold,650,Full,
psu,Corsair, HX1500i (2022),1590.21,ATX,platinum,1500,Full,Black
psu,Thermaltake, TR2 S,410.86,ATX,plus,700,false,Black
psu,Deepcool, PX1200G,649.91,ATX,gold,1200,Full,Black
psu,EVGA, SuperNOVA 650 G5,454.92,ATX,gold,650,Full,Black / Green
psu,Asus, TUF Gaming B,199.27,ATX,bronze,550,false,Black
psu,Asus, ROG THOR P2 Gaming EVA Edition,2217.76,ATX,platinum,1000,Full,Black / Silver
psu,EVGA, 750 BQ,649.43,ATX,bronze,750,Semi,
psu,GameMax, RGB Rainbow,433.26,ATX,gold,750,Full,Black
psu,Corsair, AX1500i,2812.12,ATX,titanium,1500,Full,
psu,be quiet!, System Power 9 CM,688.08,ATX,bronze,400,Semi,Black
psu,Thermaltake, Toughpower GF3 TT Premium,678.07,ATX,gold,1200,Full,Black
psu,Corsair, CX650F,866.56,ATX,bronze,650,Full,Black
psu,Corsair, RM750x White (2018),953.26,ATX,gold,750,Full,White / Black
psu,Corsair, RM750x,714.6,ATX,gold,750,Full,
psu,GAMDIAS, KRATOS M1 B,303.22,ATX,bronze,750,false,Black
psu,Montech, TITAN GOLD 1000W,607.66,ATX,gold,1000,Full,Black
psu,Thermaltake, Toughpower GF1 PE,628.2,ATX,gold,850,Full,Black
psu,Logisys, PS480D2,73.57,ATX,,480,false,
psu,Enermax, Revolution D.F. X,563.25,ATX,gold,1050,Full,Black
psu,Silverstone, SST-TX300,324.89,TFX,bronze,300,false,Black
psu,Super Flower, LEADEX VII XG,779.9,ATX,gold,1000,Full,Black
psu,Corsair, SF450,1148.24,SFX,platinum,450,Full,Black
psu,Silverstone, DA750 Gold,582.49,ATX,gold,750,Full,Black / White
psu,Sparkle, FSP350-60GNV,303.27,SFX,,350,false,
psu,ADATA, XPG FUSION 1600,2720.04,ATX,titanium,1600,Full,Black / Silver
psu,Silverstone, FX350-G,424.59,Flex ATX,gold,350,false,Black
psu,Corsair, TX550M Gold,996.55,ATX,gold,550,Semi,
psu,FSP," Group Hydro Ti PRO,Gen 5",1126.54,ATX,titanium,1000,Full,Black
psu,Super Flower, Leadex Titanium,866.56,ATX,titanium,850,Full,Black
psu,FSP, Group Hydro G Pro,639.59,ATX,gold,1000,Full,Black
psu,Thermaltake, Toughpower GF A3 - TT Premium Edition,736.57,ATX,gold,1200,Full,Black
psu,Silverstone, Extreme 850R Platinum,909.89,SFX,,850,Full,Black
psu,EVGA, SuperNOVA 1600 G+,1371.96,ATX,gold,1600,Full,Black
psu,Thermaltake, Toughpower GF A3 - TT Premium Edition,368.26,ATX,gold,650,Full,Black
psu,EVGA, 1000 GQ,563.25,ATX,gold,1000,Semi,
psu,Thermaltake, Toughpower SFX,760.35,SFX,gold,1000,Full,Black
psu,Vetroo, GV1000,519.92,ATX,gold,1000,Full,Black
psu,SeaSonic, PRIME TX-850,1516.42,ATX,titanium,850,Full,Black
psu,Thermaltake, Toughpower GX3,389.93,ATX,gold,850,false,Black
psu,Silverstone, SX650-G,616.24,SFX,gold,650,Full,
psu,FSP, Group Hydro GE,346.55,ATX,gold,550,Full,
psu,Asus, TUF Gaming 1200G,884.28,ATX,gold,1200,Full,Black
psu,GAMDIAS, KRATOS P1 G,346.55,ATX,gold,750,false,Black
psu,Silverstone, SFX,413.28,SFX,bronze,450,false,Black
psu,be quiet!, System Power 9,494.79,ATX,bronze,600,false,Black
psu,be quiet!, Straight Power 11 850W,822.4,ATX,gold,850,Full,
psu,be quiet!, Pure Power 9 CM,880.64,ATX,bronze,600,Semi,Black
psu,Corsair, CX750M V2 (2017 Edition),757.02,ATX,bronze,750,Semi,Black / White
psu,SeaSonic, G12 GM,632.92,ATX,gold,650,Semi,Black / Blue
psu,Thermaltake, Toughpower GX1,290.83,ATX,gold,600,Semi,Black
psu,SeaSonic, PRIME PX-1600 ATX 3.0,2049.47,ATX,platinum,1600,Full,Black / Silver
psu,Azza, PSAZ-750W,303.27,ATX,bronze,750,false,Black
psu,Gigabyte, UD-GM PG5,599.99,ATX,gold,750,Full,Black
psu,Antec, CSK,440.84,ATX,bronze,750,Semi,Black / Yellow
psu,SeaSonic, PRIME Fanless,1442.41,ATX,titanium,700,Full,Black
psu,Cougar, POLAR,1022.54,ATX,platinum,1200,Full,White
psu,Thermaltake, Toughpower SFX,655.71,SFX,gold,850,Full,Black
psu,Raidmax, RX-530SS,216.61,ATX,,530,Semi,
psu,EVGA, 550 BP,346.55,ATX,bronze,550,false,Black
psu,Super Flower, LEADEX VII XG,883.89,ATX,gold,1300,Full,Black
psu,Corsair, RM750x SHIFT,606.58,ATX,gold,750,Full / Side,White
psu,SeaSonic, PRIME 1300 Gold,866.56,ATX,gold,1300,Full,Black
