item_type,brand,name,price,quantity,core_count,core_clock,boost_clock,tdp,graphics,smt
cpu,Intel, Xeon E5-1650 V3,235.98,50,6,3.5,3.8,140,,true
cpu,Intel, Core i7-6700,1538.17,37,4,3.4,4.0,65,Intel HD Graphics 530,true
cpu,Intel, Xeon E5-2687W V4,8233.39,47,12,3.0,3.5,160,,true
cpu,AMD, FX-6350,433.3,35,6,3.9,,125,,false
cpu,Intel, Core i7-3930K,1295.48,13,6,3.2,,130,,true
cpu,Intel, Core i7-980X Extreme Edition,665.72,52,6,3.33,,130,,true
cpu,Intel, Xeon E5-2690 V4,4443.84,13,14,2.6,3.5,135,,true
cpu,Intel, Core i5-10600,1516.33,5,6,3.3,4.8,65,Intel UHD Graphics 630,true
cpu,Intel, Core i5-3450,255.65,11,4,3.1,,77,Intel HD Graphics 2500,false
cpu,Intel, Core i7-9700,1299.03,14,8,3.0,4.7,65,Intel HD Graphics 630,false
cpu,Intel, Core i3-4370,178.22,1,2,3.8,,54,Intel HD Graphics 4600,true
cpu,Intel, Core i3-7100T,178.22,57,2,3.4,,35,Intel HD Graphics 630,true
cpu,AMD, A6-9500,332.3,9,2,3.5,3.8,65,Radeon R5 (on die),false
cpu,Intel, Core i7-870,433.3,22,4,2.93,,95,,true
cpu,Intel, Core 2 Quad Q9550,227.7,30,4,2.83,,95,,false
cpu,Intel, Core i3-10300,451.8,22,4,3.7,4.4,65,Intel UHD Graphics 630,true
cpu,AMD, FX-6120,253.61,37,6,3.5,4.1,95,,false
cpu,Intel, Core i3-530,194.98,14,2,2.93,,73,Intel HD Graphics,true
cpu,Intel, Core i7-920,389.97,42,4,2.66,,130,,true
cpu,Intel, Core i9-7920X,2411.49,8,12,2.9,4.4,140,,true
cpu,Intel, Core i7-4960X Extreme Edition,3358.25,26,6,3.6,4.0,130,,true
cpu,Intel, Core i7-4770S,511.21,52,4,3.1,,65,Intel HD Graphics 4600,true
cpu,Intel, Xeon E5-2695 V2,818.94,52,12,2.4,3.2,115,,true
cpu,Intel, Core i9-9980XE,4753.3,25,18,3.0,4.4,165,,true
cpu,AMD, FX-6100,315.44,41,6,3.3,,95,,false
cpu,Intel, Core i3-7320,207.98,5,2,4.1,,51,Intel HD Graphics 630,true
cpu,AMD, A10-7850K,605.93,43,4,3.7,4.0,95,Radeon R7 (on-die),false
cpu,AMD, Athlon II X4 640,247.02,27,4,3.0,,95,,false
cpu,Intel, Xeon E5-2630 V4,1451.86,55,10,2.2,3.1,85,,true
cpu,Intel, Xeon E5-2650 V2,801.6,10,8,2.6,3.4,95,,true
cpu,Intel, Core i7-8700T,1318.88,53,6,2.4,4.0,35,Intel UHD Graphics 630,true
cpu,Intel, Core i5-750,311.98,20,4,2.66,,95,,false
cpu,AMD, FX-4350,532.79,4,4,4.2,,125,,false
