item_type,brand,name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
ram,Patriot, Viper Xtreme 5 32 GB,736.57,"5,8200","2,16",5.312,Black,9.268,38.0
ram,G.Skill, Trident Z5 RGB 32 GB,489.59,"5,6000","2,16",3.531,White / Black,10.0,30.0
ram,G.Skill, Ripjaws V 64 GB,558.91,"4,3600","2,32",2.015,Black,10.0,18.0
ram,TEAMGROUP, Elite Plus 16 GB,229.61,"5,4800","2,8",3.312,Black,16.667,40.0
ram,Kingston, FURY Beast 64 GB,953.22,"5,6000","2,32",3.437,Black / Silver,12.0,36.0
ram,Corsair, Vengeance 64 GB,1213.2,"5,6600","4,16",4.375,Black / Gray,9.697,32.0
ram,Corsair, Vengeance LPX 32 GB,411.59,"4,3600","2,16",2.968,Black / Yellow,8.889,16.0
ram,Corsair, Vengeance LPX 16 GB,173.28,"4,3000","1,16",2.499,Black,10.667,16.0
ram,Corsair, Vengeance 32 GB,519.92,"5,6000","2,16",3.75,Gray,12.0,36.0
ram,G.Skill, Trident Z5 RGB 32 GB,1039.88,"5,8000","2,16",7.5,Black,9.5,38.0
ram,Corsair, Dominator Platinum RGB 64 GB,974.88,"5,5600","2,32",3.515,White,14.286,40.0
ram,TEAMGROUP, T-Force Vulcan 32 GB,402.93,"5,5600","2,16",2.906,Black,11.429,32.0
ram,TEAMGROUP, T-Force Delta RGB 32 GB,433.26,"5,5600","2,16",3.125,Black,11.429,32.0
ram,Corsair, Vengeance RGB Pro 64 GB,649.91,"4,3200","2,32",2.344,Black,10.0,16.0
ram,Kingston, FURY Beast RGB 16 GB,355.26,"5,6000","2,8",5.124,Black,13.333,40.0
ram,Corsair, Vengeance RGB 64 GB,901.22,"5,6000","2,32",3.25,Black,13.333,40.0
ram,Corsair, Vengeance LPX 128 GB,1148.2,"4,3200","4,32",2.07,Black / Yellow,10.0,16.0
ram,TEAMGROUP, T-Force Delta RGB 32 GB,528.58,"5,7200","2,16",3.812,Black / White,9.444,34.0
