name,price,capacity,price_per_gb,type,cache,form_factor,interface
Klevv CRAS C910,281.56,1000.0,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Acer Predator GM7000,1191.53,4000.0,0.069,SSD,4096.0,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Force Vulcan Z,121.28,480.0,0.058,SSD,,2.5,SATA 6.0 Gb/s
Crucial T700 W/Heatsink,1936.81,4000.0,0.112,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 870 Evo,134.24,250.0,0.124,SSD,512.0,2.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,411.16,4000.0,0.024,5400,256.0,3.5,SATA 6.0 Gb/s
Western Digital Ultrastar DC HC550,1035.54,16000.0,0.015,7200,512.0,3.5,SATA 6.0 Gb/s
Western Digital Black SN850X w/Heatsink,753.9,2000.0,0.087,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial MX500,1185.03,4000.0,0.068,SSD,,2.5,SATA 6.0 Gb/s
Crucial P5 Plus,398.42,500.0,0.184,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial BX500,541.58,2000.0,0.062,SSD,,2.5,SATA 6.0 Gb/s
MSI SPATIUM M480 PRO,905.73,2000.0,0.105,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM710,688.9,2000.0,0.079,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Solidigm P44 Pro,736.57,2000.0,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Solidigm P44 Pro,381.26,1000.0,0.088,SSD,,M.2-2280,M.2 PCIe 4.0 X4
PNY CS2241,909.89,4000.0,0.052,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Patriot P210,233.94,1000.0,0.054,SSD,,2.5,SATA 6.0 Gb/s
Seagate FireCuda,1205.74,8000.0,0.035,7200,256.0,3.5,SATA 6.0 Gb/s
Corsair MP700 PRO,1299.86,2000.0,0.15,SSD,,M.2-2280,M.2 PCIe 5.0 X4
