name,price,socket,form_factor,max_memory,memory_slots,color
Asus PRIME Z790-P WIFI D4,953.22,LGA1700,ATX,128,4,Black / Silver
ASRock Z690 Phantom Gaming-ITX/TB4,844.89,LGA1700,Mini ITX,96,2,Black / Red
Asus ROG STRIX B550-F GAMING (WI-FI),1425.56,AM4,ATX,128,4,Black
Gigabyte Z790 AORUS PRO X WIFI7,1516.51,LGA1700,ATX,192,4,Black
MSI MPG B760M EDGE TI WIFI,996.55,LGA1700,Micro ATX,192,4,Silver / Black
Gigabyte B450 AORUS PRO WIFI (rev. 1.0),1028.05,AM4,ATX,64,4,Black / Silver
Asus TUF GAMING B760M-PLUS WIFI D4,1110.33,LGA1700,Micro ATX,128,4,Black / Orange
Asus PRIME B650M-A AX II,693.24,AM5,Micro ATX,192,4,Black / Silver
ASRock Z790 Steel Legend WiFi,996.55,LGA1700,ATX,192,4,Silver / Black
Gigabyte Z790I AORUS ULTRA,1256.53,LGA1700,Mini ITX,96,2,Silver / Black
Gigabyte GA-H270N-WIFI,909.89,LGA1151,Mini ITX,32,2,Black / Silver
ASRock Z790 PRO RS WIFI,814.56,LGA1700,ATX,192,4,Silver / Black
