name,price,type,efficiency,wattage,modular,color
EVGA 500 BQ,649.91,ATX,bronze,500,Semi,
EVGA SuperNOVA 1600 P+,1863.15,ATX,platinum,1600,Full,Black
Corsair RM1000e (2022),953.26,ATX,gold,1000,Full,Black
Antec NE1000G M ATX3.0,802.86,ATX,gold,1000,Full,Black
GameMax RGB,736.57,ATX,platinum,1300,Full,Black
Enermax REVOLUTION D.F. 2,463.59,ATX,gold,1050,Full,Black
FSP Group Dagger Pro,606.58,SFX,gold,650,Full,Black
Cooler Master MWE Bronze V2,521.43,ATX,bronze,700,false,Black
Corsair RM750e (2022),649.82,ATX,gold,750,Full,Black
EVGA SuperNOVA 1200 P2,2166.46,ATX,platinum,1200,Full,
Antec NE1000G M White ATX 3.0,518.92,ATX,gold,1000,Full,White
Silverstone SFX,651.6,SFX,platinum,700,Full,
Silverstone SX700-PT,616.11,SFX,platinum,700,Full,Black
Corsair RM850x (2018),1252.24,ATX,gold,850,Full,White / Black
Deepcool PM650D,370.9,ATX,gold,650,false,Black
Silverstone SX-G,606.58,SFX,gold,700,Full,Black
Silverstone SX1000R-PL,1174.2,SFX,platinum,1000,Full,Black / White
EVGA GE,346.55,ATX,gold,600,false,Black
Raidmax RX-730SS,251.27,ATX,,730,Semi,
Cooler Master V750 SFX GOLD,779.94,SFX,gold,750,Full,White
Silverstone Essential,294.64,ATX,gold,550,false,Black / Yellow
EVGA SuperNOVA 1000 P5,1023.19,ATX,platinum,1000,Full,Blue / Black
EVGA SuperNOVA 1300 G+,892.6,ATX,gold,1300,Full,Black
